source,target,weight,snapshot_date
Paraguay,Dominican Republic,0.8498,2026-03-26
Paraguay,Barbados,0.782018,2026-03-26
Paraguay,Kazakhstan,0.776802,2026-03-26
Paraguay,Tajikistan,0.761191,2026-03-26
Paraguay,Belize,0.734643,2026-03-26
Uzbekistan,Dominican Republic,0.739718,2026-03-26
Uzbekistan,Barbados,0.692697,2026-03-26
Uzbekistan,Paraguay,0.668446,2026-03-26
Uzbekistan,Albania,0.657702,2026-03-26
Uzbekistan,Latvia,0.647129,2026-03-26
Nauru,Tuvalu,0.979463,2026-03-26
Nauru,Bhutan,0.805863,2026-03-26
Nauru,Cuba,0.766206,2026-03-26
Nauru,Samoa,0.765824,2026-03-26
Nauru,Cambodia,0.723789,2026-03-26
Marshall Islands,Burma,0.955315,2026-03-26
Marshall Islands,Congo (Brazzaville),0.941765,2026-03-26
Marshall Islands,Palau,0.920483,2026-03-26
Marshall Islands,Timor-Leste,0.917856,2026-03-26
Marshall Islands,Antarctica,0.915238,2026-03-26
United Kingdom,France,0.003168,2026-03-26
United Kingdom,Italy,0.00175,2026-03-26
United Kingdom,Mexico,0.0,2026-03-26
United Kingdom,Austria,0.0,2026-03-26
United Kingdom,Chile,0.0,2026-03-26
Guinea-Bissau,Namibia,0.827353,2026-03-26
Guinea-Bissau,Gabon,0.768005,2026-03-26
Guinea-Bissau,Senegal,0.691316,2026-03-26
Guinea-Bissau,Nigeria,0.6109,2026-03-26
Guinea-Bissau,Egypt,0.586471,2026-03-26
Mauritius,Ireland,0.779383,2026-03-26
Mauritius,Finland,0.651013,2026-03-26
Mauritius,Qatar,0.582478,2026-03-26
Mauritius,Denmark,0.409503,2026-03-26
Mauritius,Sweden,0.344076,2026-03-26
Luxembourg,Bulgaria,0.514664,2026-03-26
Luxembourg,Lebanon,0.47772,2026-03-26
Luxembourg,Bolivia,0.353147,2026-03-26
Luxembourg,Armenia,0.351268,2026-03-26
Luxembourg,Hungary,0.293539,2026-03-26
Eswatini,Mauritania,0.811213,2026-03-26
Eswatini,Somalia,0.795347,2026-03-26
Eswatini,South Sudan,0.794667,2026-03-26
Eswatini,Lesotho,0.790112,2026-03-26
Eswatini,Albania,0.778526,2026-03-26
Argentina,Sweden,0.695444,2026-03-26
Argentina,Colombia,0.694515,2026-03-26
Argentina,Hungary,0.689845,2026-03-26
Argentina,Denmark,0.615087,2026-03-26
Argentina,Philippines,0.57567,2026-03-26
"Korea, North",Antarctica,1.0,2026-03-26
"Korea, North",West Bank and Gaza,1.0,2026-03-26
"Korea, North",Holy See,1.0,2026-03-26
"Korea, North",Micronesia,1.0,2026-03-26
"Korea, North",Summer Olympics 2020,1.0,2026-03-26
Iraq,Angola,0.885674,2026-03-26
Iraq,Mali,0.805019,2026-03-26
Iraq,Benin,0.797951,2026-03-26
Iraq,Niger,0.709129,2026-03-26
Iraq,Burkina Faso,0.64819,2026-03-26
Yemen,Burkina Faso,0.684412,2026-03-26
Yemen,Benin,0.655493,2026-03-26
Yemen,Iraq,0.606575,2026-03-26
Yemen,Angola,0.557777,2026-03-26
Yemen,Papua New Guinea,0.552822,2026-03-26
Afghanistan,Niger,0.656634,2026-03-26
Afghanistan,Tanzania,0.621395,2026-03-26
Afghanistan,Zambia,0.550421,2026-03-26
Afghanistan,Angola,0.544556,2026-03-26
Afghanistan,Papua New Guinea,0.52483,2026-03-26
Israel,Moldova,0.213663,2026-03-26
Israel,Netherlands,0.196305,2026-03-26
Israel,Iran,0.181763,2026-03-26
Israel,Peru,0.103258,2026-03-26
Israel,Bahrain,0.074306,2026-03-26
Tunisia,Azerbaijan,0.837815,2026-03-26
Tunisia,Honduras,0.719504,2026-03-26
Tunisia,Kosovo,0.652742,2026-03-26
Tunisia,Sierra Leone,0.607978,2026-03-26
Tunisia,Dominica,0.600522,2026-03-26
Brunei,United Arab Emirates,0.535659,2026-03-26
Brunei,Argentina,0.529137,2026-03-26
